Z1,Z2,Z3,Z4,Z5
99.6,24.6,56.199999999999996,256.6,211.4
84.4,20.68,43.0,-143.39999999999998,162.60000000000002
108.4,32.120000000000005,37.0,112.60000000000002,203.4
110.80000000000001,34.28,49.0,-140.19999999999993,177.8
110.80000000000001,34.28,49.0,-140.19999999999993,177.8
76.664,22.52,70.6,310.20000000000005,197.0
80.4,22.36,33.4,86.20000000000005,169.0
82.0,22.04,20.2,-4.199999999999932,169.8
83.6,31.72,35.8,103.80000000000007,177.0
91.6,25.0,49.0,-154.60000000000002,181.0
88.4,20.439999999999998,43.0,159.80000000000007,137.0
86.8,29.880000000000003,53.8,246.20000000000005,237.8
86.8,29.880000000000003,53.8,246.20000000000005,237.8
62.8,19.8,21.4,3.0,125.0
62.0,19.88,45.4,179.80000000000007,139.4
86.8,19.96,55.0,251.80000000000007,164.2
83.864,22.36,53.8,-162.59999999999997,186.60000000000002
91.6,25.0,49.0,-154.60000000000002,181.0
90.0,22.52,73.0,317.4000000000001,179.4
86.8,29.880000000000003,53.8,246.20000000000005,237.8
94.80000000000001,24.36,63.4,-74.60000000000002,158.60000000000002
104.4,24.76,43.0,159.80000000000007,191.4
85.2,24.439999999999998,55.0,251.80000000000007,159.4
94.0,25.32,83.8,345.4000000000001,185.8
84.4,24.36,69.4,306.20000000000005,241.0
76.664,22.52,70.6,310.20000000000005,197.0
70.8,22.12,22.6,11.0,145.8
106.0,32.6,64.6,290.20000000000005,161.8
75.064,25.32,58.6,267.0,124.2
79.6,22.92,81.4,-188.2,127.4
84.4,20.68,43.0,-143.39999999999998,162.60000000000002
108.4,32.120000000000005,37.0,112.60000000000002,203.4
82.8,21.32,34.6,-144.19999999999993,126.6
92.136,23.64,68.19999999999999,302.20000000000005,146.6
86.8,29.880000000000003,53.8,246.20000000000005,237.8
100.4,27.08,53.8,246.20000000000005,85.0
104.4,29.160000000000004,70.6,310.20000000000005,176.2
78.8,22.6,67.0,298.20000000000005,149.0
78.8,22.6,67.0,298.20000000000005,149.0
95.6,22.200000000000003,63.4,285.4000000000001,161.8
83.864,22.36,53.8,-162.59999999999997,186.60000000000002
112.4,31.96,33.4,86.20000000000005,166.60000000000002
86.8,19.96,55.0,251.80000000000007,164.2
76.664,22.52,70.6,310.20000000000005,197.0
98.0,22.92,46.599999999999994,-201.79999999999995,137.0
112.4,31.96,33.4,86.20000000000005,166.60000000000002
89.2,26.04,57.4,-192.2,173.8
89.2,22.52,76.6,327.80000000000007,182.60000000000002
88.4,30.12,69.4,306.20000000000005,162.60000000000002
79.6,29.0,52.6,241.4000000000001,140.2
80.4,21.400000000000002,55.0,251.80000000000007,125.80000000000001
111.6,27.160000000000004,79.0,334.20000000000005,195.4
82.8,22.439999999999998,68.19999999999999,302.20000000000005,139.4
80.4,28.04,29.799999999999997,59.80000000000007,175.4
79.6,23.96,25.0,27.0,175.4
79.6,23.96,25.0,27.0,175.4
83.6,31.72,35.8,103.80000000000007,177.0
82.8,22.36,64.6,290.20000000000005,141.0
86.0,24.52,26.2,-141.0,166.60000000000002
86.8,26.36,76.6,327.80000000000007,180.2
78.8,22.92,76.6,327.80000000000007,131.4
79.6,22.92,81.4,-188.2,127.4
80.4,26.12,63.4,285.4000000000001,164.2
85.2,23.64,46.599999999999994,189.4000000000001,180.2
62.0,19.88,45.4,179.80000000000007,139.4
89.2,26.04,57.4,-192.2,173.8
93.2,22.12,56.199999999999996,256.6,170.60000000000002
86.8,19.96,55.0,251.80000000000007,164.2
97.2,26.28,69.4,306.20000000000005,180.2
98.0,22.92,46.599999999999994,-201.79999999999995,137.0
79.6,29.0,52.6,241.4000000000001,140.2
70.8,25.88,53.8,-673.0,169.8
90.0,22.52,73.0,317.4000000000001,179.4
82.8,21.32,34.6,-144.19999999999993,126.6
86.0,22.68,56.199999999999996,256.6,149.8
79.6,23.96,25.0,27.0,175.4
95.6,22.200000000000003,63.4,285.4000000000001,161.8
92.136,23.64,68.19999999999999,302.20000000000005,146.6
82.8,22.36,64.6,290.20000000000005,141.0
62.8,19.8,21.4,3.0,125.0
85.2,23.64,46.599999999999994,189.4000000000001,180.2
78.8,23.96,19.0,-12.199999999999932,197.0
80.4,21.400000000000002,55.0,251.80000000000007,125.80000000000001
80.4,26.92,65.8,294.20000000000005,141.8
83.6,28.12,34.6,95.0,162.60000000000002
80.4,26.92,65.8,294.20000000000005,141.8
84.4,20.68,43.0,-143.39999999999998,162.60000000000002
90.0,18.6,22.6,11.0,108.2
74.8,27.800000000000004,86.2,681.4000000000001,194.60000000000002
82.8,19.560000000000002,55.0,251.80000000000007,167.4
98.0,27.08,57.4,262.20000000000005,166.60000000000002
104.4,23.64,51.4,-147.39999999999998,175.4
70.8,22.12,22.6,11.0,145.8
92.136,23.64,68.19999999999999,302.20000000000005,146.6
62.0,19.88,45.4,179.80000000000007,139.4
88.4,30.12,69.4,306.20000000000005,162.60000000000002
79.6,22.92,81.4,-188.2,127.4
84.664,24.04,34.6,95.0,139.4
95.6,26.12,56.199999999999996,256.6,242.60000000000002
96.4,24.92,81.4,340.6,241.8
100.4,27.08,53.8,246.20000000000005,85.0
75.064,25.32,58.6,267.0,124.2
97.2,26.28,69.4,306.20000000000005,180.2
79.6,29.0,52.6,241.4000000000001,140.2
108.4,32.120000000000005,37.0,112.60000000000002,203.4
113.2,21.08,75.4,324.6,186.60000000000002
75.064,25.32,58.6,267.0,124.2
82.8,22.36,91.0,359.79999999999995,165.8
79.6,23.96,25.0,27.0,175.4
94.80000000000001,25.32,91.0,359.79999999999995,152.2
83.6,31.72,35.8,103.80000000000007,177.0
80.4,28.04,29.799999999999997,59.80000000000007,175.4
96.4,24.92,81.4,340.6,241.8
74.8,21.48,59.8,-179.39999999999998,148.2
90.0,18.6,22.6,11.0,108.2
76.4,19.32,35.8,103.80000000000007,153.8
85.2,23.64,46.599999999999994,189.4000000000001,180.2
94.0,25.32,83.8,345.4000000000001,185.8
82.0,22.04,20.2,-4.199999999999932,169.8
93.2,24.68,57.4,262.20000000000005,145.8
79.6,23.96,25.0,27.0,175.4
100.4,26.52,58.6,267.0,173.0
102.80000000000001,22.200000000000003,69.4,306.20000000000005,165.8
62.0,19.88,45.4,179.80000000000007,139.4
88.4,30.12,69.4,306.20000000000005,162.60000000000002
